Naam;Type
Uniper Centrale Maasvlakte;kolen
Tata Steel IJmuiden bv;staal
Amercentrale;kolen
Chemelot;chemie
Shell Nederland Chemie B.V. Pernis;raffinaderij
Vattenfall Centrale Hemweg;kolen
Dow Benelux B.V.;chemie
Vattenfall Velsen;gas
Yara Sluiskil B.V.;chemie
ENGIE Energie Centrale Gelderland;kolen
Shell Nederland Chemie B.V. Moerdijk;chemie
EPZ Conventional Operations;kolen
ESSO Raffinaderij Rotterdam;raffinaderij
Vattenfall IJmond;gas
BP Raffinaderij Rotterdam B.V.;raffinaderij
ENGIE Eemscentrale;gas
Zeeland Refinery N.V.;raffinaderij
ENGIE Maximacentrale;gas
RWE Eemshaven Centrale;kolen
Power Plant Rotterdam B.V.;kolen
Power Plant Rotterdam B.V.;gas
Vattenfall Eemsmond;gas
Energie Productie Clauscentrale;gas
Sloe Centrale B.V.;gas
Pergen VOF;chemie
Vattenfall Centrale Diemen;gas
Air Products Nederland B.V.;chemie
Air Liquide;chemie
WKC Moerdijk;gas
Enecogen;gas
Rijnmond Energie C.V.;gas
